,text,intent,labelIndex,queryCut,queryCutRMStopWord,queryFinal
894,i give the universe maker a rating of zero,RateBook,2,"['i', 'give', 'the', 'universe', 'maker', 'a', 'rating', 'of', 'zero']","['i', 'give', 'the', 'universe', 'maker', 'a', 'rating', 'of', 'zero']","['i', 'give', 'the', 'universe', 'a', 'rating', 'of', 'zero']"
895,how is the humidity near my current place,GetWeather,5,"['how', 'is', 'the', 'humidity', 'near', 'my', 'current', 'place']","['how', 'is', 'the', 'humidity', 'near', 'my', 'current', 'place']","['how', 'is', 'the', 'humidity', 'near', 'my', 'current', 'place']"
896,book a restaurant in delhi arkansas for three people ,BookRestaurant,4,"['book', 'a', 'restaurant', 'in', 'delhi', 'arkansas', 'for', 'three', 'people']","['book', 'a', 'restaurant', 'in', 'delhi', 'arkansas', 'for', 'three', 'people']","['book', 'a', 'restaurant', 'in', 'arkansas', 'for', 'three', 'people']"
897,what is the weather in åland 4 seconds from now,GetWeather,5,"['what', 'is', 'the', 'weather', 'in', 'åland', '4', 'seconds', 'from', 'now']","['what', 'is', 'the', 'weather', 'in', 'åland', '4', 'seconds', 'from', 'now']","['what', 'is', 'the', 'weather', 'in', 'åland', '4', 'seconds', 'from', 'now']"
898,what is the weather here,GetWeather,5,"['what', 'is', 'the', 'weather', 'here']","['what', 'is', 'the', 'weather', 'here']","['what', 'is', 'the', 'weather', 'here']"
899,add yoshiki to the 35 soul classics 1970 to 1975 playlist,AddToPlaylist,1,"['add', 'yoshiki', 'to', 'the', '35', 'soul', 'classics', '1970', 'to', '1975', 'playlist']","['add', 'yoshiki', 'to', 'the', '35', 'soul', 'classics', '1970', 'to', '1975', 'playlist']","['add', 'to', 'the', 'soul', 'classics', '1970', 'to', '1975', 'playlist']"
900,is there going to be any cloud cover today at mccracken in az,GetWeather,5,"['is', 'there', 'going', 'to', 'be', 'any', 'cloud', 'cover', 'today', 'at', 'mccracken', 'in', 'az']","['is', 'there', 'going', 'to', 'be', 'any', 'cloud', 'cover', 'today', 'at', 'mccracken', 'in', 'az']","['is', 'there', 'going', 'to', 'be', 'any', 'cloud', 'today', 'at', 'mccracken', 'in', 'az']"
901,i need a movie schedule for any films playing close by,SearchScreeningEvent,3,"['i', 'need', 'a', 'movie', 'schedule', 'for', 'any', 'films', 'playing', 'close', 'by']","['i', 'need', 'a', 'movie', 'schedule', 'for', 'any', 'films', 'playing', 'close', 'by']","['i', 'need', 'a', 'movie', 'schedule', 'for', 'any', 'films', 'playing', 'close', 'by']"
902,what are the movie times for movies close by,SearchScreeningEvent,3,"['what', 'are', 'the', 'movie', 'times', 'for', 'movies', 'close', 'by']","['what', 'are', 'the', 'movie', 'times', 'for', 'movies', 'close', 'by']","['what', 'are', 'the', 'movie', 'times', 'for', 'movies', 'close', 'by']"
903,add vl mike to my dcode2016 playlist,AddToPlaylist,1,"['add', 'vl', 'mike', 'to', 'my', 'dcode2016', 'playlist']","['add', 'vl', 'mike', 'to', 'my', 'dcode2016', 'playlist']","['add', 'mike', 'to', 'my', 'playlist']"
904,is storm warning playing,SearchScreeningEvent,3,"['is', 'storm', 'warning', 'playing']","['is', 'storm', 'warning', 'playing']","['is', 'storm', 'warning', 'playing']"
905,i need a reservation for four at a restaurant in 1 hour and 1 second,BookRestaurant,4,"['i', 'need', 'a', 'reservation', 'for', 'four', 'at', 'a', 'restaurant', 'in', '1', 'hour', 'and', '1', 'second']","['i', 'need', 'a', 'reservation', 'for', 'four', 'at', 'a', 'restaurant', 'in', '1', 'hour', 'and', '1', 'second']","['i', 'need', 'a', 'reservation', 'for', 'four', 'at', 'a', 'restaurant', 'in', '1', 'hour', 'and', '1', 'second']"
906,play joey fatone soundtrack tunes from google music from 1972,PlayMusic,0,"['play', 'joey', 'fatone', 'soundtrack', 'tunes', 'from', 'google', 'music', 'from', '1972']","['play', 'joey', 'fatone', 'soundtrack', 'tunes', 'from', 'google', 'music', 'from', '1972']","['play', 'soundtrack', 'tunes', 'from', 'google', 'music', 'from', '1972']"
907,what is the weather of sri lanka,GetWeather,5,"['what', 'is', 'the', 'weather', 'of', 'sri', 'lanka']","['what', 'is', 'the', 'weather', 'of', 'sri', 'lanka']","['what', 'is', 'the', 'weather', 'of', 'sri', 'lanka']"
908,what will be the wind speed at the current place,GetWeather,5,"['what', 'will', 'be', 'the', 'wind', 'speed', 'at', 'the', 'current', 'place']","['what', 'will', 'be', 'the', 'wind', 'speed', 'at', 'the', 'current', 'place']","['what', 'will', 'be', 'the', 'wind', 'speed', 'at', 'the', 'current', 'place']"
909,give 4 stars to this essay,RateBook,2,"['give', '4', 'stars', 'to', 'this', 'essay']","['give', '4', 'stars', 'to', 'this', 'essay']","['give', '4', 'stars', 'to', 'this', 'essay']"
910,show me dombey and son movies ,SearchScreeningEvent,3,"['show', 'me', 'dombey', 'and', 'son', 'movies']","['show', 'me', 'dombey', 'and', 'son', 'movies']","['show', 'me', 'and', 'son', 'movies']"
911,put michael cretu onto my beach vibes playlist,AddToPlaylist,1,"['put', 'michael', 'cretu', 'onto', 'my', 'beach', 'vibes', 'playlist']","['put', 'michael', 'cretu', 'onto', 'my', 'beach', 'vibes', 'playlist']","['put', 'michael', 'onto', 'my', 'beach', 'vibes', 'playlist']"
912,play a ballad from 1997 ,PlayMusic,0,"['play', 'a', 'ballad', 'from', '1997']","['play', 'a', 'ballad', 'from', '1997']","['play', 'a', 'ballad', 'from', '1997']"
913,find the earth is a sinful song,SearchCreativeWork,6,"['find', 'the', 'earth', 'is', 'a', 'sinful', 'song']","['find', 'the', 'earth', 'is', 'a', 'sinful', 'song']","['find', 'the', 'earth', 'is', 'a', 'song']"
914,add this artist to metal party,AddToPlaylist,1,"['add', 'this', 'artist', 'to', 'metal', 'party']","['add', 'this', 'artist', 'to', 'metal', 'party']","['add', 'this', 'artist', 'to', 'metal', 'party']"
915,what is the weather forecast for åland,GetWeather,5,"['what', 'is', 'the', 'weather', 'forecast', 'for', 'åland']","['what', 'is', 'the', 'weather', 'forecast', 'for', 'åland']","['what', 'is', 'the', 'weather', 'forecast', 'for', 'åland']"
916,give this series 3 stars,RateBook,2,"['give', 'this', 'series', '3', 'stars']","['give', 'this', 'series', '3', 'stars']","['give', 'this', 'series', '3', 'stars']"
917,give me the showtimes for the rum diary at mjr theatres at meal time ,SearchScreeningEvent,3,"['give', 'me', 'the', 'showtimes', 'for', 'the', 'rum', 'diary', 'at', 'mjr', 'theatres', 'at', 'meal', 'time']","['give', 'me', 'the', 'showtimes', 'for', 'the', 'rum', 'diary', 'at', 'mjr', 'theatres', 'at', 'meal', 'time']","['give', 'me', 'the', 'showtimes', 'for', 'the', 'diary', 'at', 'mjr', 'theatres', 'at', 'meal', 'time']"
918,add paloma negra to my funky jams list,AddToPlaylist,1,"['add', 'paloma', 'negra', 'to', 'my', 'funky', 'jams', 'list']","['add', 'paloma', 'negra', 'to', 'my', 'funky', 'jams', 'list']","['add', 'to', 'my', 'funky', 'jams', 'list']"
919,add some martine mccutcheon to my original columbia jazzmasters list,AddToPlaylist,1,"['add', 'some', 'martine', 'mccutcheon', 'to', 'my', 'original', 'columbia', 'jazzmasters', 'list']","['add', 'some', 'martine', 'mccutcheon', 'to', 'my', 'original', 'columbia', 'jazzmasters', 'list']","['add', 'some', 'to', 'my', 'original', 'columbia', 'list']"
920,rate the natural a 4,RateBook,2,"['rate', 'the', 'natural', 'a', '4']","['rate', 'the', 'natural', 'a', '4']","['rate', 'the', 'natural', 'a', '4']"
921,play music from the album evolution of a man by joey ramone,PlayMusic,0,"['play', 'music', 'from', 'the', 'album', 'evolution', 'of', 'a', 'man', 'by', 'joey', 'ramone']","['play', 'music', 'from', 'the', 'album', 'evolution', 'of', 'a', 'man', 'by', 'joey', 'ramone']","['play', 'music', 'from', 'the', 'album', 'of', 'a', 'man', 'by']"
922,how is weather here,GetWeather,5,"['how', 'is', 'weather', 'here']","['how', 'is', 'weather', 'here']","['how', 'is', 'weather', 'here']"
923,add tune to my is it new wave,AddToPlaylist,1,"['add', 'tune', 'to', 'my', 'is', 'it', 'new', 'wave']","['add', 'tune', 'to', 'my', 'is', 'it', 'new', 'wave']","['add', 'tune', 'to', 'my', 'is', 'it', 'new', 'wave']"
924,what is the weather forecast for sunset in bouvet island,GetWeather,5,"['what', 'is', 'the', 'weather', 'forecast', 'for', 'sunset', 'in', 'bouvet', 'island']","['what', 'is', 'the', 'weather', 'forecast', 'for', 'sunset', 'in', 'bouvet', 'island']","['what', 'is', 'the', 'weather', 'forecast', 'for', 'sunset', 'in', 'island']"
925,rate tragedy day a 4,RateBook,2,"['rate', 'tragedy', 'day', 'a', '4']","['rate', 'tragedy', 'day', 'a', '4']","['rate', 'day', 'a', '4']"
926,find bullet and a target  a television show,SearchCreativeWork,6,"['find', 'bullet', 'and', 'a', 'target', 'a', 'television', 'show']","['find', 'bullet', 'and', 'a', 'target', 'a', 'television', 'show']","['find', 'and', 'a', 'a', 'television', 'show']"
927,add another album to my this is pavarotti playlist  ,AddToPlaylist,1,"['add', 'another', 'album', 'to', 'my', 'this', 'is', 'pavarotti', 'playlist']","['add', 'another', 'album', 'to', 'my', 'this', 'is', 'pavarotti', 'playlist']","['add', 'another', 'album', 'to', 'my', 'this', 'is', 'playlist']"
928,i need reservations for a party of 3 on all souls  day in temperance  north dakota,BookRestaurant,4,"['i', 'need', 'reservations', 'for', 'a', 'party', 'of', '3', 'on', 'all', 'souls', 'day', 'in', 'temperance', 'north', 'dakota']","['i', 'need', 'reservations', 'for', 'a', 'party', 'of', '3', 'on', 'all', 'souls', 'day', 'in', 'temperance', 'north', 'dakota']","['i', 'need', 'reservations', 'for', 'a', 'party', 'of', '3', 'on', 'all', 'souls', 'day', 'in', 'north', 'dakota']"
929,play crossroad blues ,PlayMusic,0,"['play', 'crossroad', 'blues']","['play', 'crossroad', 'blues']","['play', 'crossroad', 'blues']"
930,play used to love her to my this is animal collective playlist,AddToPlaylist,1,"['play', 'used', 'to', 'love', 'her', 'to', 'my', 'this', 'is', 'animal', 'collective', 'playlist']","['play', 'used', 'to', 'love', 'her', 'to', 'my', 'this', 'is', 'animal', 'collective', 'playlist']","['play', 'to', 'love', 'her', 'to', 'my', 'this', 'is', 'animal', 'collective', 'playlist']"
931,what is the movie schedules for movies in the area ,SearchScreeningEvent,3,"['what', 'is', 'the', 'movie', 'schedules', 'for', 'movies', 'in', 'the', 'area']","['what', 'is', 'the', 'movie', 'schedules', 'for', 'movies', 'in', 'the', 'area']","['what', 'is', 'the', 'movie', 'schedules', 'for', 'movies', 'in', 'the', 'area']"
932,rate the promise 1 points,RateBook,2,"['rate', 'the', 'promise', '1', 'points']","['rate', 'the', 'promise', '1', 'points']","['rate', 'the', '1', 'points']"
933,for this current saga i give 5 out of 6 possiable points ,RateBook,2,"['for', 'this', 'current', 'saga', 'i', 'give', '5', 'out', 'of', '6', 'possiable', 'points']","['for', 'this', 'current', 'saga', 'i', 'give', '5', 'out', 'of', '6', 'possiable', 'points']","['for', 'this', 'current', 'saga', 'i', 'give', '5', 'out', 'of', '6', 'possiable', 'points']"
934,what time is the mailman playing,SearchScreeningEvent,3,"['what', 'time', 'is', 'the', 'mailman', 'playing']","['what', 'time', 'is', 'the', 'mailman', 'playing']","['what', 'time', 'is', 'the', 'playing']"
935,find me nights in harlem,SearchCreativeWork,6,"['find', 'me', 'nights', 'in', 'harlem']","['find', 'me', 'nights', 'in', 'harlem']","['find', 'me', 'nights', 'in', 'harlem']"
936,the rats of hamelin deserves zero points,RateBook,2,"['the', 'rats', 'of', 'hamelin', 'deserves', 'zero', 'points']","['the', 'rats', 'of', 'hamelin', 'deserves', 'zero', 'points']","['the', 'rats', 'of', 'deserves', 'zero', 'points']"
937,play some chanson music,PlayMusic,0,"['play', 'some', 'chanson', 'music']","['play', 'some', 'chanson', 'music']","['play', 'some', 'chanson', 'music']"
938,add fair charlotte to the we everywhere playlist ,AddToPlaylist,1,"['add', 'fair', 'charlotte', 'to', 'the', 'we', 'everywhere', 'playlist']","['add', 'fair', 'charlotte', 'to', 'the', 'we', 'everywhere', 'playlist']","['add', 'fair', 'to', 'the', 'we', 'everywhere', 'playlist']"
939,find the american journal of sports medicine picture,SearchCreativeWork,6,"['find', 'the', 'american', 'journal', 'of', 'sports', 'medicine', 'picture']","['find', 'the', 'american', 'journal', 'of', 'sports', 'medicine', 'picture']","['find', 'the', 'american', 'journal', 'of', 'picture']"
940,will it be chilly 17 hours from now in cold creek conservation area,GetWeather,5,"['will', 'it', 'be', 'chilly', '17', 'hours', 'from', 'now', 'in', 'cold', 'creek', 'conservation', 'area']","['will', 'it', 'be', 'chilly', '17', 'hours', 'from', 'now', 'in', 'cold', 'creek', 'conservation', 'area']","['will', 'it', 'be', 'chilly', '17', 'hours', 'from', 'now', 'in', 'cold', 'creek', 'conservation', 'area']"
941,find show-ya 20th anniversary the best ,SearchCreativeWork,6,"['find', 'show-ya', '20th', 'anniversary', 'the', 'best']","['find', 'show-ya', '20th', 'anniversary', 'the', 'best']","['find', '20th', 'anniversary', 'the', 'best']"
942,please get me the before crisis: final fantasy vii television show ,SearchCreativeWork,6,"['please', 'get', 'me', 'the', 'before', 'crisis', ':', 'final', 'fantasy', 'vii', 'television', 'show']","['please', 'get', 'me', 'the', 'before', 'crisis', ':', 'final', 'fantasy', 'vii', 'television', 'show']","['please', 'get', 'me', 'the', 'before', ':', 'final', 'television', 'show']"
943,rate this novel a two,RateBook,2,"['rate', 'this', 'novel', 'a', 'two']","['rate', 'this', 'novel', 'a', 'two']","['rate', 'this', 'novel', 'a', 'two']"
944,book a restaurant in almyra in 10 years ,BookRestaurant,4,"['book', 'a', 'restaurant', 'in', 'almyra', 'in', '10', 'years']","['book', 'a', 'restaurant', 'in', 'almyra', 'in', '10', 'years']","['book', 'a', 'restaurant', 'in', 'in', '10', 'years']"
945,will it be overcast at 18 o clock in id,GetWeather,5,"['will', 'it', 'be', 'overcast', 'at', '18', 'o', 'clock', 'in', 'id']","['will', 'it', 'be', 'overcast', 'at', '18', 'o', 'clock', 'in', 'id']","['will', 'it', 'be', 'overcast', 'at', '18', 'o', 'clock', 'in', 'id']"
946,what animated movies are playing amc theaters,SearchScreeningEvent,3,"['what', 'animated', 'movies', 'are', 'playing', 'amc', 'theaters']","['what', 'animated', 'movies', 'are', 'playing', 'amc', 'theaters']","['what', 'animated', 'movies', 'are', 'playing', 'amc', 'theaters']"
947,add sara hickman to my targeted list,AddToPlaylist,1,"['add', 'sara', 'hickman', 'to', 'my', 'targeted', 'list']","['add', 'sara', 'hickman', 'to', 'my', 'targeted', 'list']","['add', 'to', 'my', 'list']"
948,rate short trips: destination prague five out of 6,RateBook,2,"['rate', 'short', 'trips', ':', 'destination', 'prague', 'five', 'out', 'of', '6']","['rate', 'short', 'trips', ':', 'destination', 'prague', 'five', 'out', 'of', '6']","['rate', 'short', ':', 'five', 'out', 'of', '6']"
949,find meal time movie times close by for movies,SearchScreeningEvent,3,"['find', 'meal', 'time', 'movie', 'times', 'close', 'by', 'for', 'movies']","['find', 'meal', 'time', 'movie', 'times', 'close', 'by', 'for', 'movies']","['find', 'meal', 'time', 'movie', 'times', 'close', 'by', 'for', 'movies']"
950,is it chillier at narew national park,GetWeather,5,"['is', 'it', 'chillier', 'at', 'narew', 'national', 'park']","['is', 'it', 'chillier', 'at', 'narew', 'national', 'park']","['is', 'it', 'chillier', 'at', 'national', 'park']"
951,i need a restaurant on july 18th in rose bud,BookRestaurant,4,"['i', 'need', 'a', 'restaurant', 'on', 'july', '18th', 'in', 'rose', 'bud']","['i', 'need', 'a', 'restaurant', 'on', 'july', '18th', 'in', 'rose', 'bud']","['i', 'need', 'a', 'restaurant', 'on', 'july', '18th', 'in', 'rose']"
952,tell me if it ll be temperate three hours from now in bonaire,GetWeather,5,"['tell', 'me', 'if', 'it', 'll', 'be', 'temperate', 'three', 'hours', 'from', 'now', 'in', 'bonaire']","['tell', 'me', 'if', 'it', 'll', 'be', 'temperate', 'three', 'hours', 'from', 'now', 'in', 'bonaire']","['tell', 'me', 'if', 'it', 'll', 'be', 'temperate', 'three', 'hours', 'from', 'now', 'in', 'bonaire']"
953,i need a table at the apple pan for reva and bernadine,BookRestaurant,4,"['i', 'need', 'a', 'table', 'at', 'the', 'apple', 'pan', 'for', 'reva', 'and', 'bernadine']","['i', 'need', 'a', 'table', 'at', 'the', 'apple', 'pan', 'for', 'reva', 'and', 'bernadine']","['i', 'need', 'a', 'table', 'at', 'the', 'apple', 'for', 'and']"
954,what is the forecast in kearneysville,GetWeather,5,"['what', 'is', 'the', 'forecast', 'in', 'kearneysville']","['what', 'is', 'the', 'forecast', 'in', 'kearneysville']","['what', 'is', 'the', 'forecast', 'in']"
955,i rate egg collecting and bird life of australia a zero out of 6 points,RateBook,2,"['i', 'rate', 'egg', 'collecting', 'and', 'bird', 'life', 'of', 'australia', 'a', 'zero', 'out', 'of', '6', 'points']","['i', 'rate', 'egg', 'collecting', 'and', 'bird', 'life', 'of', 'australia', 'a', 'zero', 'out', 'of', '6', 'points']","['i', 'rate', 'and', 'bird', 'life', 'of', 'australia', 'a', 'zero', 'out', 'of', '6', 'points']"
956,what s the weather look like for mh,GetWeather,5,"['what', 's', 'the', 'weather', 'look', 'like', 'for', 'mh']","['what', 's', 'the', 'weather', 'look', 'like', 'for', 'mh']","['what', 's', 'the', 'weather', 'look', 'like', 'for', 'mh']"
957,show me the live~legend 1999 & 1997 apocalypse tv show,SearchCreativeWork,6,"['show', 'me', 'the', 'live~legend', '1999', '&', '1997', 'apocalypse', 'tv', 'show']","['show', 'me', 'the', 'live~legend', '1999', '&', '1997', 'apocalypse', 'tv', 'show']","['show', 'me', 'the', '1999', '&', '1997', 'tv', 'show']"
958,what time is the wanda group playing the honor of an outlaw,SearchScreeningEvent,3,"['what', 'time', 'is', 'the', 'wanda', 'group', 'playing', 'the', 'honor', 'of', 'an', 'outlaw']","['what', 'time', 'is', 'the', 'wanda', 'group', 'playing', 'the', 'honor', 'of', 'an', 'outlaw']","['what', 'time', 'is', 'the', 'wanda', 'group', 'playing', 'the', 'honor', 'of', 'an', 'outlaw']"
959,i want to add the classical moments in movies track to my playlist,AddToPlaylist,1,"['i', 'want', 'to', 'add', 'the', 'classical', 'moments', 'in', 'movies', 'track', 'to', 'my', 'playlist']","['i', 'want', 'to', 'add', 'the', 'classical', 'moments', 'in', 'movies', 'track', 'to', 'my', 'playlist']","['i', 'want', 'to', 'add', 'the', 'classical', 'moments', 'in', 'movies', 'track', 'to', 'my', 'playlist']"
960,add to my verano list a song by andy lee,AddToPlaylist,1,"['add', 'to', 'my', 'verano', 'list', 'a', 'song', 'by', 'andy', 'lee']","['add', 'to', 'my', 'verano', 'list', 'a', 'song', 'by', 'andy', 'lee']","['add', 'to', 'my', 'verano', 'list', 'a', 'song', 'by', 'andy', 'lee']"
961,will it get foggy in spring hill,GetWeather,5,"['will', 'it', 'get', 'foggy', 'in', 'spring', 'hill']","['will', 'it', 'get', 'foggy', 'in', 'spring', 'hill']","['will', 'it', 'get', 'foggy', 'in', 'spring', 'hill']"
962,is the weather going to be colder in gu in 11 years ,GetWeather,5,"['is', 'the', 'weather', 'going', 'to', 'be', 'colder', 'in', 'gu', 'in', '11', 'years']","['is', 'the', 'weather', 'going', 'to', 'be', 'colder', 'in', 'gu', 'in', '11', 'years']","['is', 'the', 'weather', 'going', 'to', 'be', 'colder', 'in', 'gu', 'in', '11', 'years']"
963,what time will the age of success be showing,SearchScreeningEvent,3,"['what', 'time', 'will', 'the', 'age', 'of', 'success', 'be', 'showing']","['what', 'time', 'will', 'the', 'age', 'of', 'success', 'be', 'showing']","['what', 'time', 'will', 'the', 'age', 'of', 'be', 'showing']"
964,play the top jazz record from 1951,PlayMusic,0,"['play', 'the', 'top', 'jazz', 'record', 'from', '1951']","['play', 'the', 'top', 'jazz', 'record', 'from', '1951']","['play', 'the', 'top', 'jazz', 'record', 'from', '1951']"
965,can you let me know where i can watch the nest,SearchScreeningEvent,3,"['can', 'you', 'let', 'me', 'know', 'where', 'i', 'can', 'watch', 'the', 'nest']","['can', 'you', 'let', 'me', 'know', 'where', 'i', 'can', 'watch', 'the', 'nest']","['can', 'you', 'let', 'me', 'know', 'where', 'i', 'can', 'watch', 'the']"
966,play a fifties theme on lastfm ,PlayMusic,0,"['play', 'a', 'fifties', 'theme', 'on', 'lastfm']","['play', 'a', 'fifties', 'theme', 'on', 'lastfm']","['play', 'a', 'fifties', 'theme', 'on', 'lastfm']"
967,christie  concepcion and i want to eat trattoria at a brasserie in johnston now,BookRestaurant,4,"['christie', 'concepcion', 'and', 'i', 'want', 'to', 'eat', 'trattoria', 'at', 'a', 'brasserie', 'in', 'johnston', 'now']","['christie', 'concepcion', 'and', 'i', 'want', 'to', 'eat', 'trattoria', 'at', 'a', 'brasserie', 'in', 'johnston', 'now']","['and', 'i', 'want', 'to', 'eat', 'at', 'a', 'brasserie', 'in', 'now']"
968,play a 1998 sound track  from sam the kid on last fm,PlayMusic,0,"['play', 'a', '1998', 'sound', 'track', 'from', 'sam', 'the', 'kid', 'on', 'last', 'fm']","['play', 'a', '1998', 'sound', 'track', 'from', 'sam', 'the', 'kid', 'on', 'last', 'fm']","['play', 'a', '1998', 'sound', 'track', 'from', 'sam', 'the', 'kid', 'on', 'last', 'fm']"
969,find war & peace vol  1,SearchCreativeWork,6,"['find', 'war', '&', 'peace', 'vol', '1']","['find', 'war', '&', 'peace', 'vol', '1']","['find', 'war', '&', 'peace', 'vol', '1']"
970,find a soundtrack called billboard hot r&b hits: 1981,SearchCreativeWork,6,"['find', 'a', 'soundtrack', 'called', 'billboard', 'hot', 'r', '&', 'b', 'hits', ':', '1981']","['find', 'a', 'soundtrack', 'called', 'billboard', 'hot', 'r', '&', 'b', 'hits', ':', '1981']","['find', 'a', 'soundtrack', 'called', 'hot', 'r', '&', 'b', 'hits', ':', '1981']"
971,i want to book a restaurant far from the municipal borough of mitcham for 10 people ,BookRestaurant,4,"['i', 'want', 'to', 'book', 'a', 'restaurant', 'far', 'from', 'the', 'municipal', 'borough', 'of', 'mitcham', 'for', '10', 'people']","['i', 'want', 'to', 'book', 'a', 'restaurant', 'far', 'from', 'the', 'municipal', 'borough', 'of', 'mitcham', 'for', '10', 'people']","['i', 'want', 'to', 'book', 'a', 'restaurant', 'far', 'from', 'the', 'borough', 'of', 'for', '10', 'people']"
972,tell me if it ll blizzard in ks,GetWeather,5,"['tell', 'me', 'if', 'it', 'll', 'blizzard', 'in', 'ks']","['tell', 'me', 'if', 'it', 'll', 'blizzard', 'in', 'ks']","['tell', 'me', 'if', 'it', 'll', 'blizzard', 'in', 'ks']"
973,rate this essay two points out of 6,RateBook,2,"['rate', 'this', 'essay', 'two', 'points', 'out', 'of', '6']","['rate', 'this', 'essay', 'two', 'points', 'out', 'of', '6']","['rate', 'this', 'essay', 'two', 'points', 'out', 'of', '6']"
974,why buffy matters is zero out of 6 points ,RateBook,2,"['why', 'buffy', 'matters', 'is', 'zero', 'out', 'of', '6', 'points']","['why', 'buffy', 'matters', 'is', 'zero', 'out', 'of', '6', 'points']","['why', 'is', 'zero', 'out', 'of', '6', 'points']"
975,play a soundtrack by musical artist jimmy james,PlayMusic,0,"['play', 'a', 'soundtrack', 'by', 'musical', 'artist', 'jimmy', 'james']","['play', 'a', 'soundtrack', 'by', 'musical', 'artist', 'jimmy', 'james']","['play', 'a', 'soundtrack', 'by', 'musical', 'artist', 'jimmy', 'james']"
976,book a tyrolean restaurant in crocker indiana now for 3 people ,BookRestaurant,4,"['book', 'a', 'tyrolean', 'restaurant', 'in', 'crocker', 'indiana', 'now', 'for', '3', 'people']","['book', 'a', 'tyrolean', 'restaurant', 'in', 'crocker', 'indiana', 'now', 'for', '3', 'people']","['book', 'a', 'tyrolean', 'restaurant', 'in', 'indiana', 'now', 'for', '3', 'people']"
977,show song schedule come into the world,SearchCreativeWork,6,"['show', 'song', 'schedule', 'come', 'into', 'the', 'world']","['show', 'song', 'schedule', 'come', 'into', 'the', 'world']","['show', 'song', 'schedule', 'come', 'into', 'the', 'world']"
978,book sot for 22 minutes from now at a restaurant with parking,BookRestaurant,4,"['book', 'sot', 'for', '22', 'minutes', 'from', 'now', 'at', 'a', 'restaurant', 'with', 'parking']","['book', 'sot', 'for', '22', 'minutes', 'from', 'now', 'at', 'a', 'restaurant', 'with', 'parking']","['book', 'sot', 'for', '22', 'minutes', 'from', 'now', 'at', 'a', 'restaurant', 'with', 'parking']"
979,rate this novel 1 of 6,RateBook,2,"['rate', 'this', 'novel', '1', 'of', '6']","['rate', 'this', 'novel', '1', 'of', '6']","['rate', 'this', 'novel', '1', 'of', '6']"
980,book a highly rated gastropub that has a pastelaria in blue anchor  md in 55 weeks for my brother in law and i,BookRestaurant,4,"['book', 'a', 'highly', 'rated', 'gastropub', 'that', 'has', 'a', 'pastelaria', 'in', 'blue', 'anchor', 'md', 'in', '55', 'weeks', 'for', 'my', 'brother', 'in', 'law', 'and', 'i']","['book', 'a', 'highly', 'rated', 'gastropub', 'that', 'has', 'a', 'pastelaria', 'in', 'blue', 'anchor', 'md', 'in', '55', 'weeks', 'for', 'my', 'brother', 'in', 'law', 'and', 'i']","['book', 'a', 'highly', 'rated', 'gastropub', 'that', 'has', 'a', 'pastelaria', 'in', 'blue', 'md', 'in', 'weeks', 'for', 'my', 'brother', 'in', 'law', 'and', 'i']"
981,is the forecast windy now in fort myers shores arizona,GetWeather,5,"['is', 'the', 'forecast', 'windy', 'now', 'in', 'fort', 'myers', 'shores', 'arizona']","['is', 'the', 'forecast', 'windy', 'now', 'in', 'fort', 'myers', 'shores', 'arizona']","['is', 'the', 'forecast', 'windy', 'now', 'in', 'fort', 'shores', 'arizona']"
982,i need to book a table at a nearby restaurant,BookRestaurant,4,"['i', 'need', 'to', 'book', 'a', 'table', 'at', 'a', 'nearby', 'restaurant']","['i', 'need', 'to', 'book', 'a', 'table', 'at', 'a', 'nearby', 'restaurant']","['i', 'need', 'to', 'book', 'a', 'table', 'at', 'a', 'nearby', 'restaurant']"
983,book a table at a osteria type restaurant in sd,BookRestaurant,4,"['book', 'a', 'table', 'at', 'a', 'osteria', 'type', 'restaurant', 'in', 'sd']","['book', 'a', 'table', 'at', 'a', 'osteria', 'type', 'restaurant', 'in', 'sd']","['book', 'a', 'table', 'at', 'a', 'osteria', 'type', 'restaurant', 'in', 'sd']"
984,please help me find the bloom: remix album song ,SearchCreativeWork,6,"['please', 'help', 'me', 'find', 'the', 'bloom', ':', 'remix', 'album', 'song']","['please', 'help', 'me', 'find', 'the', 'bloom', ':', 'remix', 'album', 'song']","['please', 'help', 'me', 'find', 'the', ':', 'remix', 'album', 'song']"
985,play les pauvres riches by pan mei chen ,PlayMusic,0,"['play', 'les', 'pauvres', 'riches', 'by', 'pan', 'mei', 'chen']","['play', 'les', 'pauvres', 'riches', 'by', 'pan', 'mei', 'chen']","['play', 'by']"
986,find a tv show called zen: the music of fred katz ,SearchCreativeWork,6,"['find', 'a', 'tv', 'show', 'called', 'zen', ':', 'the', 'music', 'of', 'fred', 'katz']","['find', 'a', 'tv', 'show', 'called', 'zen', ':', 'the', 'music', 'of', 'fred', 'katz']","['find', 'a', 'tv', 'show', 'called', 'zen', ':', 'the', 'music', 'of']"
987,out of 6  i give the following book zero ,RateBook,2,"['out', 'of', '6', 'i', 'give', 'the', 'following', 'book', 'zero']","['out', 'of', '6', 'i', 'give', 'the', 'following', 'book', 'zero']","['out', 'of', '6', 'i', 'give', 'the', 'following', 'book', 'zero']"
